codigo	nome	valor_individual	valor_empresarial
30101581	EXTENSOS FERIMENTOS, CICATRIZES, OU TUMORES - EXERESE E ENXERTO CUTANEO	757.49	757.49
30101590	FACE - BIOPSIA	163.71	163.71
30101603	FERIMENTOS INFECTADOS E MORDIDAS DE ANIMAIS DESBRIDAMENTO	134.88	134.88
30101611	INCISAO E DRENAGEM DE TENOSSINOVITES PURULENTAS	164.50	164.50
30101620	INCISAO E DRENAGEM DE ABSCESSO, HEMATOMA OU PANARICIO	82.44	82.44
30101638	INCISAO E DRENAGEM DE FLEGMAO	114.60	114.60
30101646	INFILTRACAO INTRALESIONAL, CICATRICIAL / HEMANGIOMAS - POR SESSAO	53.01	53.01
30101662	MATRICECTOMIA POR DOBRA UNGUEAL	128.18	128.18
30101670	PLASTICA EM Z OU W	271.91	271.91
30101689	RECONSTRUCAO COM RETALHOS DE GALEA APONEUROTICA	839.81	839.81
30101697	RETALHO COMPOSTO (INCLUINDO CARTILAGEM OU OSSO)	1133.12	1133.12
30101700	RETALHO LOCAL OU REGIONAL	649.17	649.17
30101719	RETALHO MUSCULAR OU MIOCUTANEO	824.69	824.69
30101735	RETIRADA DE CORPO ESTRANHO SUBCUTANEO	103.68	103.68
30101743	RETRACAO CICATRICIAL DE AXILA - TRATAMENTO CIRURGICO	534.24	534.24
30101751	RETRACAO CICATRICIAL DE ZONA DE FLEXAO E EXTENSAO DE MEMBROS SUPERIORES E INFERIORES - TRATAMENTO CIRURGICO	469.76	469.76
30101760	RETRACAO CICATRICIAL DO COTOVELO - TRATAMENTO CIRURGICO	424.15	424.15
30101778	RETRACAO DE APONEVROSE PALMAR(DUPUYTREN) - TRATAME NTO CIRURGICO	424.15	424.15
30101786	SUTURA DE EXTENSOS FERIMENTOS COM OU SEM DESBRIDAMENTO	380.03	380.03
30101794	SUTURA DE PEQUENOS FERIMENTOS COM OU SEM DESBRIDAMENTO	82.44	82.44
30101808	TRANSECCAO DE RETALHO	321.95	321.95
30101816	TRANSFERENCIA INTERMEDIARIA DE RETALHO	364.99	364.99
30101824	TRATAMENTO CIRURGICO DE BRIDAS CONSTRICTIVAS	897.43	897.43
30101832	TRATAMENTO CIRURGICO DE GRANDES HEMANGIOMAS	1068.24	1068.24
30101840	TRATAMENTO DA MIIASE FURUNCULOIDE (POR LESAO)	103.68	103.68
30101867	TRATAMENTO DE ESCARAS OU ULCERACOES COM ENXERTO DE PELE	788.61	788.61
30101875	TRATAMENTO DE ESCARAS OU ULCERACOES COM RETALHOS CUTANEOS LOCAIS	880.68	880.68
30101883	TRATAMENTO DE ESCARAS OU ULCERACOES COM RETALHOS MIOCUTANEOS OU MUSCULARES	874.31	874.31
30101891	TRATAMENTO DE FISTULA CUTANEA	190.45	190.45
30101913	TU PARTES MOLES - EXERESE	251.63	251.63
30101921	EXERESE E SUTURA DE HEMANGIOMA, LINFANGIOMA OU NEVUS (POR GRUPO DE ATE 5 LESOES)	183.17	183.17
30101930	ABSCESSO DE UNHA DRENAGEM - TRATAMENTO CIRURGICO	85.41	85.41
30101948	CANTOPLASTIA UNGUEAL	153.23	153.23
30101956	UNHA (ENXERTO) - TRATAMENTO CIRURGICO	121.39	121.39
30101964	RETALHO EXPANDIDO	697.43	697.43
30101972	ABDOMINOPLASTIA POS BARIATRICA	1073.38	1073.38
